ReqNum,ReqName,Approve_Begin_Date_UTC,Days,ApprovalStatus,ApproverName,BORGNAME
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-AP
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-GSTTest
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-Hema GST Test
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-HR_IT
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-India
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-INDIA-VCERM
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-IPS
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-test
1673-215,Requester1/1673-215,08-09-2016 07:02:19,1019,Awaiting Approval,Special Req app group MASTER,IN01-Testing_GST
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-10000
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-20000
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-30000
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-40000
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-AE02-VCEME
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-AP
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-GSTTest
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-Hema GST Test
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-HR_IT
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-India
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-INDIA-VCERM
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-IPS
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-test
1673-216,Requester1/1673-216,08-09-2016 07:38:00,1019,Awaiting Approval,Special Req app group MASTER,IN01-Testing_GST
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-10000
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-20000
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-30000
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-40000
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-AE02-VCEME
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-AP
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-GSTTest
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-Hema GST Test
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-HR_IT
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-India
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-INDIA-VCERM
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-IPS
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-test
1673-776,Hemavathi H/1673-776,14-11-2017 08:02:26,587,Awaiting Approval,Special Req app group MASTER,IN01-Testing_GST
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-10000
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-20000
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-30000
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-40000
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-AE02-VCEME
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-AP
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-GSTTest
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-Hema GST Test
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-HR_IT
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-India
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-INDIA-VCERM
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-IPS
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-test
1683-322,Enterprise Administrator User/1683-322,12-04-2019 09:37:11,73,Awaiting Approval,MIV Special,IN01-Testing_GST
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-10000
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-20000
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-30000
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-40000
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-AE02-VCEME
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-AP
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-GSTTest
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-Hema GST Test
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-HR_IT
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-India
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-INDIA-VCERM
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-IPS
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-test
1683-323,Enterprise Administrator User/1683-323,12-04-2019 09:42:15,73,Awaiting Approval,MIV Special,IN01-Testing_GST
1810-40,Gopal Anand/1810-40,28-03-2019 11:36:37,88,Awaiting Approval,MIV Special,IN01-10000
1810-40,Gopal Anand/1810-40,28-03-2019 11:36:37,88,Awaiting Approval,MIV Special,IN01-20000
